symbol,detail,numbers,page,source
Abdone,,43,45,1881 Capacelli - Il vero libro dei sogni
Abramo,,80,45,1881 Capacelli - Il vero libro dei sogni
Acasio,,59,45,1881 Capacelli - Il vero libro dei sogni
Achille,,10,45,1881 Capacelli - Il vero libro dei sogni
Adalberto,,19,45,1881 Capacelli - Il vero libro dei sogni
Adamo,,19,45,1881 Capacelli - Il vero libro dei sogni
Adelaide,,44,45,1881 Capacelli - Il vero libro dei sogni
Adelelmo,,47,45,1881 Capacelli - Il vero libro dei sogni
Adriano,,1,45,1881 Capacelli - Il vero libro dei sogni
Agapito,,21,45,1881 Capacelli - Il vero libro dei sogni
Agata,,45,45,1881 Capacelli - Il vero libro dei sogni
Agnese,,38 78,45,1881 Capacelli - Il vero libro dei sogni
Agostino,,1 34,45,1881 Capacelli - Il vero libro dei sogni
Agricola,,18,45,1881 Capacelli - Il vero libro dei sogni
Agrippina,,39,45,1881 Capacelli - Il vero libro dei sogni
Agrippino,,60,45,1881 Capacelli - Il vero libro dei sogni
Albano,,82,45,1881 Capacelli - Il vero libro dei sogni
Alberico,,22,45,1881 Capacelli - Il vero libro dei sogni
Alberto,,51 71,45,1881 Capacelli - Il vero libro dei sogni
Albino,,37 82,45,1881 Capacelli - Il vero libro dei sogni
Alessandro,,3,45,1881 Capacelli - Il vero libro dei sogni
Alessio,,17 28,45,1881 Capacelli - Il vero libro dei sogni
Alfonso,,57,45,1881 Capacelli - Il vero libro dei sogni
Alvaro,,62,45,1881 Capacelli - Il vero libro dei sogni
Babbiano,,51,45,1881 Capacelli - Il vero libro dei sogni
Babila,,64,45,1881 Capacelli - Il vero libro dei sogni
Balbina,,88,45,1881 Capacelli - Il vero libro dei sogni
Amanzio,,41,45,1881 Capacelli - Il vero libro dei sogni
Ambrogio,,5,45,1881 Capacelli - Il vero libro dei sogni
Anacleto,,83,45,1881 Capacelli - Il vero libro dei sogni
Anastasia,,17,45,1881 Capacelli - Il vero libro dei sogni
Anastasio,,30,45,1881 Capacelli - Il vero libro dei sogni
Andrea,,84,45,1881 Capacelli - Il vero libro dei sogni
Angelica,,80,45,1881 Capacelli - Il vero libro dei sogni
Angelo,,14,45,1881 Capacelli - Il vero libro dei sogni
Aniceto,,40,45,1881 Capacelli - Il vero libro dei sogni
Anna,,26,45,1881 Capacelli - Il vero libro dei sogni
Annibale,,7,45,1881 Capacelli - Il vero libro dei sogni
Annunciata,,26,45,1881 Capacelli - Il vero libro dei sogni
Anselmo,,85,45,1881 Capacelli - Il vero libro dei sogni
Antonino,,50,45,1881 Capacelli - Il vero libro dei sogni
Antonio,,3 17,45,1881 Capacelli - Il vero libro dei sogni
Apollonio,,60,45,1881 Capacelli - Il vero libro dei sogni
Apollinare,,86,45,1881 Capacelli - Il vero libro dei sogni
Aquilino,,25,45,1881 Capacelli - Il vero libro dei sogni
Ascanio,,10,45,1881 Capacelli - Il vero libro dei sogni
Asdrubale,,6,45,1881 Capacelli - Il vero libro dei sogni
Augusta,,69,45,1881 Capacelli - Il vero libro dei sogni
Augusto,,51,45,1881 Capacelli - Il vero libro dei sogni
Aurelia,,14,45,1881 Capacelli - Il vero libro dei sogni
Aureliano,,44,45,1881 Capacelli - Il vero libro dei sogni
Aurelio,,80,45,1881 Capacelli - Il vero libro dei sogni
Baldassare,,8,45,1881 Capacelli - Il vero libro dei sogni
Barbara,,87,45,1881 Capacelli - Il vero libro dei sogni
Barbaro,,71,45,1881 Capacelli - Il vero libro dei sogni
Barnaba,,17,46,1881 Capacelli - Il vero libro dei sogni
Bartolomeo,,21,46,1881 Capacelli - Il vero libro dei sogni
Ba-ilia,,88,46,1881 Capacelli - Il vero libro dei sogni
Ba,lio,32 67,46,1881 Capacelli - Il vero libro dei sogni
Bassa No,,2 27,46,1881 Capacelli - Il vero libro dei sogni
Bastiano,,59,46,1881 Capacelli - Il vero libro dei sogni
Batilde,,43,46,1881 Capacelli - Il vero libro dei sogni
Beatrice,,34,46,1881 Capacelli - Il vero libro dei sogni
Bellino,,38,46,1881 Capacelli - Il vero libro dei sogni
Benedetto,,47,46,1881 Capacelli - Il vero libro dei sogni
Beniamino,,8,46,1881 Capacelli - Il vero libro dei sogni
Benigno,,89,46,1881 Capacelli - Il vero libro dei sogni
Cajo,,23,46,1881 Capacelli - Il vero libro dei sogni
Calocero,,3,46,1881 Capacelli - Il vero libro dei sogni
Calisto,,12 72,46,1881 Capacelli - Il vero libro dei sogni
Calimero,,72,46,1881 Capacelli - Il vero libro dei sogni
Camillo,,10 84,46,1881 Capacelli - Il vero libro dei sogni
Candido,,7,46,1881 Capacelli - Il vero libro dei sogni
Canuto,,26,46,1881 Capacelli - Il vero libro dei sogni
Canziano,,5,46,1881 Capacelli - Il vero libro dei sogni
Carlo,,5 80,46,1881 Capacelli - Il vero libro dei sogni
Carolina,,61,46,1881 Capacelli - Il vero libro dei sogni
Casimiro,,28,46,1881 Capacelli - Il vero libro dei sogni
Cassandra,,51,46,1881 Capacelli - Il vero libro dei sogni
Cassiano,,51,46,1881 Capacelli - Il vero libro dei sogni
Caterina,,2 16,46,1881 Capacelli - Il vero libro dei sogni
Cecilia,,29 75,46,1881 Capacelli - Il vero libro dei sogni
Celestino,,54,46,1881 Capacelli - Il vero libro dei sogni
Celso,,11,46,1881 Capacelli - Il vero libro dei sogni
Celidonia,,82,46,1881 Capacelli - Il vero libro dei sogni
Celidonio,,37,46,1881 Capacelli - Il vero libro dei sogni
Celio,,46,46,1881 Capacelli - Il vero libro dei sogni
Cesario,,72 7,46,1881 Capacelli - Il vero libro dei sogni
Cesare,,87,46,1881 Capacelli - Il vero libro dei sogni
Bernardino,,74 86,46,1881 Capacelli - Il vero libro dei sogni
Bernardo,,5 90,46,1881 Capacelli - Il vero libro dei sogni
Bertrando,,58,46,1881 Capacelli - Il vero libro dei sogni
Biagio,,1 20,46,1881 Capacelli - Il vero libro dei sogni
Bianca,,50,46,1881 Capacelli - Il vero libro dei sogni
Bibiana,,45,46,1881 Capacelli - Il vero libro dei sogni
Bonaventura,,3,46,1881 Capacelli - Il vero libro dei sogni
Bonfiglio,,54,46,1881 Capacelli - Il vero libro dei sogni
Bonifacio,,11 20,46,1881 Capacelli - Il vero libro dei sogni
Brigida,,17 31,46,1881 Capacelli - Il vero libro dei sogni
Brunone,,77,46,1881 Capacelli - Il vero libro dei sogni
Buono,,47,46,1881 Capacelli - Il vero libro dei sogni
Cinzia,,90,46,1881 Capacelli - Il vero libro dei sogni
Cinzio,,59,46,1881 Capacelli - Il vero libro dei sogni
Cipriano,,12 25,46,1881 Capacelli - Il vero libro dei sogni
Ciriaco,,63,46,1881 Capacelli - Il vero libro dei sogni
Cirillo,,22 41,46,1881 Capacelli - Il vero libro dei sogni
Ciro,,55,46,1881 Capacelli - Il vero libro dei sogni
Claudio,,4 8,46,1881 Capacelli - Il vero libro dei sogni
Clelia,,38,46,1881 Capacelli - Il vero libro dei sogni
Clemente,,64,46,1881 Capacelli - Il vero libro dei sogni
Clementina,,43,46,1881 Capacelli - Il vero libro dei sogni
Cleto,,44,46,1881 Capacelli - Il vero libro dei sogni
Clotilde,,1,46,1881 Capacelli - Il vero libro dei sogni
Colombano,,55,46,1881 Capacelli - Il vero libro dei sogni
Colombo,,59,46,1881 Capacelli - Il vero libro dei sogni
Concordia,,85,46,1881 Capacelli - Il vero libro dei sogni
Cornelia,,80,46,1881 Capacelli - Il vero libro dei sogni
Cornelio,,11 90,46,1881 Capacelli - Il vero libro dei sogni
Corrado,,25,46,1881 Capacelli - Il vero libro dei sogni
Casimiro,,4 78,46,1881 Capacelli - Il vero libro dei sogni
Costante,,44,46,1881 Capacelli - Il vero libro dei sogni
Costantino,,21,46,1881 Capacelli - Il vero libro dei sogni
Costanza,,5 56,46,1881 Capacelli - Il vero libro dei sogni
Costanzo,,22 54,47,1881 Capacelli - Il vero libro dei sogni
Crescentino,,12,47,1881 Capacelli - Il vero libro dei sogni
Crescenzio,,22,47,1881 Capacelli - Il vero libro dei sogni
Crispino,,7 29,47,1881 Capacelli - Il vero libro dei sogni
Cristina,,20 48,47,1881 Capacelli - Il vero libro dei sogni
Dalmazio,,32 83,47,1881 Capacelli - Il vero libro dei sogni
Damaso,,51,47,1881 Capacelli - Il vero libro dei sogni
Damiano,,19,47,1881 Capacelli - Il vero libro dei sogni
Daniele,,62,47,1881 Capacelli - Il vero libro dei sogni
Dario,,13,47,1881 Capacelli - Il vero libro dei sogni
Davide,,62,47,1881 Capacelli - Il vero libro dei sogni
Decio,,79,47,1881 Capacelli - Il vero libro dei sogni
Defendente,,34,47,1881 Capacelli - Il vero libro dei sogni
Delfina,,34,47,1881 Capacelli - Il vero libro dei sogni
Delfino,,22 50,47,1881 Capacelli - Il vero libro dei sogni
Demetrio,,17,47,1881 Capacelli - Il vero libro dei sogni
Desiderato,,25,47,1881 Capacelli - Il vero libro dei sogni
Desiderio,,35,47,1881 Capacelli - Il vero libro dei sogni
Diamanta,,6,47,1881 Capacelli - Il vero libro dei sogni
Diego,,67,47,1881 Capacelli - Il vero libro dei sogni
Eduardo,,30,47,1881 Capacelli - Il vero libro dei sogni
Edvige,,55,47,1881 Capacelli - Il vero libro dei sogni
Egidio,,67,47,1881 Capacelli - Il vero libro dei sogni
Eleazaro,,8,47,1881 Capacelli - Il vero libro dei sogni
Elena,,24,47,1881 Capacelli - Il vero libro dei sogni
Eleonora,,15,47,1881 Capacelli - Il vero libro dei sogni
Eleuterio,,4,47,1881 Capacelli - Il vero libro dei sogni
Elia,,34,47,1881 Capacelli - Il vero libro dei sogni
Eligio,,8,47,1881 Capacelli - Il vero libro dei sogni
Elio,,35,47,1881 Capacelli - Il vero libro dei sogni
Elisabetta,,7,47,1881 Capacelli - Il vero libro dei sogni
Emiliano,,14,47,1881 Capacelli - Il vero libro dei sogni
Cristoforo,,84,47,1881 Capacelli - Il vero libro dei sogni
Cunegonda,,12,47,1881 Capacelli - Il vero libro dei sogni
Cuniberto,,68,47,1881 Capacelli - Il vero libro dei sogni
Cunicolo,,89,47,1881 Capacelli - Il vero libro dei sogni
Diodoro,,57,47,1881 Capacelli - Il vero libro dei sogni
Diomede,,23 77,47,1881 Capacelli - Il vero libro dei sogni
Dionigi,,19,47,1881 Capacelli - Il vero libro dei sogni
Dionigia,,81,47,1881 Capacelli - Il vero libro dei sogni
Divota,,40,47,1881 Capacelli - Il vero libro dei sogni
Domenica,,12,47,1881 Capacelli - Il vero libro dei sogni
Domenico,,10,47,1881 Capacelli - Il vero libro dei sogni
Domitilla,,22 5,47,1881 Capacelli - Il vero libro dei sogni
Domiziano,,14,47,1881 Capacelli - Il vero libro dei sogni
Domizio,,86,47,1881 Capacelli - Il vero libro dei sogni
Donato,,33 75,47,1881 Capacelli - Il vero libro dei sogni
Donnino,,42,47,1881 Capacelli - Il vero libro dei sogni
Dorina,,27,47,1881 Capacelli - Il vero libro dei sogni
Dorotea,,16 30,47,1881 Capacelli - Il vero libro dei sogni
Emilia,,45,47,1881 Capacelli - Il vero libro dei sogni
Emilio,,54,47,1881 Capacelli - Il vero libro dei sogni
Enrichetta,,19,47,1881 Capacelli - Il vero libro dei sogni
Enrico,,2 78,47,1881 Capacelli - Il vero libro dei sogni
Epifanio,,70,47,1881 Capacelli - Il vero libro dei sogni
Eraclio,,29,47,1881 Capacelli - Il vero libro dei sogni
Erasmo,,33,47,1881 Capacelli - Il vero libro dei sogni
Erminio,,71 78,47,1881 Capacelli - Il vero libro dei sogni
Ermenegildo,,77,47,1881 Capacelli - Il vero libro dei sogni
Ermogene,,1,47,1881 Capacelli - Il vero libro dei sogni
Ettore,,54 80,47,1881 Capacelli - Il vero libro dei sogni
Eufemia,,80,47,1881 Capacelli - Il vero libro dei sogni
Eufrasia,,72,48,1881 Capacelli - Il vero libro dei sogni
Eusebio,,41,48,1881 Capacelli - Il vero libro dei sogni
Eufrosina,,74,48,1881 Capacelli - Il vero libro dei sogni
Eustacchio,,2,48,1881 Capacelli - Il vero libro dei sogni
Eugenia,,14 87,48,1881 Capacelli - Il vero libro dei sogni
Eustorgio,,42,48,1881 Capacelli - Il vero libro dei sogni
Eugenio,,86 88,48,1881 Capacelli - Il vero libro dei sogni
Evangelista,,16,48,1881 Capacelli - Il vero libro dei sogni
Eulalia,,55,48,1881 Capacelli - Il vero libro dei sogni
Evandro,,22,48,1881 Capacelli - Il vero libro dei sogni
Eulogio,,71,48,1881 Capacelli - Il vero libro dei sogni
Evaristo,,17,48,1881 Capacelli - Il vero libro dei sogni
Eurosia,,33,48,1881 Capacelli - Il vero libro dei sogni
Evenzio,,80,48,1881 Capacelli - Il vero libro dei sogni
Fabiano,,82,48,1881 Capacelli - Il vero libro dei sogni
Fiorenzo,,32,48,1881 Capacelli - Il vero libro dei sogni
Fabio,,13 83,48,1881 Capacelli - Il vero libro dei sogni
Flaminio,,1 68,48,1881 Capacelli - Il vero libro dei sogni
Fabrizio,,68 69,48,1881 Capacelli - Il vero libro dei sogni
Flavia,,17 27,48,1881 Capacelli - Il vero libro dei sogni
Faraone,,26,48,1881 Capacelli - Il vero libro dei sogni
Flaviano,,44,48,1881 Capacelli - Il vero libro dei sogni
Faustina,,56,48,1881 Capacelli - Il vero libro dei sogni
Flavio,,21,48,1881 Capacelli - Il vero libro dei sogni
Faustino,,1 85,48,1881 Capacelli - Il vero libro dei sogni
Floriano,,7,48,1881 Capacelli - Il vero libro dei sogni
Fausto,,83,48,1881 Capacelli - Il vero libro dei sogni
Fiorenzo,,36,48,1881 Capacelli - Il vero libro dei sogni
Fedele,,50,48,1881 Capacelli - Il vero libro dei sogni
Florio,,59,48,1881 Capacelli - Il vero libro dei sogni
Federico,,37,48,1881 Capacelli - Il vero libro dei sogni
Foca,,80,48,1881 Capacelli - Il vero libro dei sogni
Felice,,5 15,48,1881 Capacelli - Il vero libro dei sogni
Fortunata,,20 74,48,1881 Capacelli - Il vero libro dei sogni
Feliciano,,52,48,1881 Capacelli - Il vero libro dei sogni
Fortunato,,17 79,48,1881 Capacelli - Il vero libro dei sogni
Felicita,,40,48,1881 Capacelli - Il vero libro dei sogni
Fosca,,79,48,1881 Capacelli - Il vero libro dei sogni
Ferdinando,,45,48,1881 Capacelli - Il vero libro dei sogni
Francesca,,14,48,1881 Capacelli - Il vero libro dei sogni
Fermo,,39,48,1881 Capacelli - Il vero libro dei sogni
Francesco,,65,48,1881 Capacelli - Il vero libro dei sogni
Ferrante,,20,48,1881 Capacelli - Il vero libro dei sogni
Franco,,31,48,1881 Capacelli - Il vero libro dei sogni
Fidenzio,,13,48,1881 Capacelli - Il vero libro dei sogni
Frontiniano,,39,48,1881 Capacelli - Il vero libro dei sogni
Filiberto,,47,48,1881 Capacelli - Il vero libro dei sogni
Fulgenzio,,89,48,1881 Capacelli - Il vero libro dei sogni
Filippo,,14 77,48,1881 Capacelli - Il vero libro dei sogni
Fulvia,,75,48,1881 Capacelli - Il vero libro dei sogni
Firmino,,1,48,1881 Capacelli - Il vero libro dei sogni
Fulvio,,55,48,1881 Capacelli - Il vero libro dei sogni
Gabriele,,17 51,48,1881 Capacelli - Il vero libro dei sogni
Gallo,,28,48,1881 Capacelli - Il vero libro dei sogni
Gabriella,,44,48,1881 Capacelli - Il vero libro dei sogni
Gaspare,,2 57,48,1881 Capacelli - Il vero libro dei sogni
Gaetana,,18,48,1881 Capacelli - Il vero libro dei sogni
Gasparetto,,72,48,1881 Capacelli - Il vero libro dei sogni
Gaetano,,28,48,1881 Capacelli - Il vero libro dei sogni
Gasparina,,62,48,1881 Capacelli - Il vero libro dei sogni
Galdino,,68,48,1881 Capacelli - Il vero libro dei sogni
Gaudenzio,,18,48,1881 Capacelli - Il vero libro dei sogni
Galeazzo,,46,48,1881 Capacelli - Il vero libro dei sogni
Gelasio,,89,48,1881 Capacelli - Il vero libro dei sogni
Geltrude,,27 34,49,1881 Capacelli - Il vero libro dei sogni
Geminiano,,12 22,49,1881 Capacelli - Il vero libro dei sogni
Generosa,,31,49,1881 Capacelli - Il vero libro dei sogni
Genesia,,15,49,1881 Capacelli - Il vero libro dei sogni
Genesio,,14 24,49,1881 Capacelli - Il vero libro dei sogni
Genevieffa,,18,49,1881 Capacelli - Il vero libro dei sogni
Gennaro,,40,49,1881 Capacelli - Il vero libro dei sogni
Gentile,,4,49,1881 Capacelli - Il vero libro dei sogni
Gerardo,,33,49,1881 Capacelli - Il vero libro dei sogni
Geremia,,4 63,49,1881 Capacelli - Il vero libro dei sogni
Germano,,63,49,1881 Capacelli - Il vero libro dei sogni
Gerolamo,,73,49,1881 Capacelli - Il vero libro dei sogni
Geronzio,,39,49,1881 Capacelli - Il vero libro dei sogni
Gervasio,,89,49,1881 Capacelli - Il vero libro dei sogni
Giacobbe,,31,49,1881 Capacelli - Il vero libro dei sogni
Giacinta,,54,49,1881 Capacelli - Il vero libro dei sogni
Giacinto,,44,49,1881 Capacelli - Il vero libro dei sogni
Giacomino,,27,49,1881 Capacelli - Il vero libro dei sogni
Giacomo,,81,49,1881 Capacelli - Il vero libro dei sogni
Giambattista,,6,49,1881 Capacelli - Il vero libro dei sogni
Giberto,,10,49,1881 Capacelli - Il vero libro dei sogni
Gioachino,,89,49,1881 Capacelli - Il vero libro dei sogni
Giobbe,,68,49,1881 Capacelli - Il vero libro dei sogni
Gioconda,,37,49,1881 Capacelli - Il vero libro dei sogni
Giocondo,,22,49,1881 Capacelli - Il vero libro dei sogni
Giorgio,,14,49,1881 Capacelli - Il vero libro dei sogni
Giosuè,,60,49,1881 Capacelli - Il vero libro dei sogni
Giovanna,,23,49,1881 Capacelli - Il vero libro dei sogni
Giovanni,,54,49,1881 Capacelli - Il vero libro dei sogni
Battista ',,61,49,1881 Capacelli - Il vero libro dei sogni
Nepomuceno,,5,49,1881 Capacelli - Il vero libro dei sogni
Nepomuceno,di Dio,31,49,1881 Capacelli - Il vero libro dei sogni
Giovita,,18,49,1881 Capacelli - Il vero libro dei sogni
Girolamo,,63,49,1881 Capacelli - Il vero libro dei sogni
Giuditta,,30,49,1881 Capacelli - Il vero libro dei sogni
Giulia,,18 70,49,1881 Capacelli - Il vero libro dei sogni
Giuliana,,1,49,1881 Capacelli - Il vero libro dei sogni
Giuliano,,14 67,49,1881 Capacelli - Il vero libro dei sogni
Giulio,,24 80,49,1881 Capacelli - Il vero libro dei sogni
Giuseppe,,19 26,49,1881 Capacelli - Il vero libro dei sogni
Giustina,,25,49,1881 Capacelli - Il vero libro dei sogni
Giustino,,51,49,1881 Capacelli - Il vero libro dei sogni
Giustiniano,,80,49,1881 Capacelli - Il vero libro dei sogni
Giusto,,25,49,1881 Capacelli - Il vero libro dei sogni
Gordiano,,88,49,1881 Capacelli - Il vero libro dei sogni
Gottardo,,73,49,1881 Capacelli - Il vero libro dei sogni
Grato,,22,49,1881 Capacelli - Il vero libro dei sogni
Graziano,,9,49,1881 Capacelli - Il vero libro dei sogni
Grazioso,,45,49,1881 Capacelli - Il vero libro dei sogni
Gregorio,,61,49,1881 Capacelli - Il vero libro dei sogni
Guglielmo,,27 60,49,1881 Capacelli - Il vero libro dei sogni
Guido,,19,49,1881 Capacelli - Il vero libro dei sogni
Guido,tdelfonso,1,49,1881 Capacelli - Il vero libro dei sogni
Ifigenia,,2,49,1881 Capacelli - Il vero libro dei sogni
Iginio,,87,49,1881 Capacelli - Il vero libro dei sogni
Ignazio,,71,49,1881 Capacelli - Il vero libro dei sogni
Ilario,,63,49,1881 Capacelli - Il vero libro dei sogni
Ilarione,,4,49,1881 Capacelli - Il vero libro dei sogni
Ilgerardo,,28,49,1881 Capacelli - Il vero libro dei sogni
Illuminata,,81,49,1881 Capacelli - Il vero libro dei sogni
Iltrude,,4,49,1881 Capacelli - Il vero libro dei sogni
Innocente,,1 6,49,1881 Capacelli - Il vero libro dei sogni
Innocenzo,,17,49,1881 Capacelli - Il vero libro dei sogni
Ippolito,,49 90,49,1881 Capacelli - Il vero libro dei sogni
Irene,,3 81,49,1881 Capacelli - Il vero libro dei sogni
Ireneo,,40,49,1881 Capacelli - Il vero libro dei sogni
Isabella,,17,49,1881 Capacelli - Il vero libro dei sogni
Isacco,,42,49,1881 Capacelli - Il vero libro dei sogni
Isaia,,4,49,1881 Capacelli - Il vero libro dei sogni
Isidoro,,55 69,49,1881 Capacelli - Il vero libro dei sogni
Ladislao,,37,50,1881 Capacelli - Il vero libro dei sogni
Lamberto,,8,50,1881 Capacelli - Il vero libro dei sogni
Landolfo,,56,50,1881 Capacelli - Il vero libro dei sogni
Lanfranco,,48,50,1881 Capacelli - Il vero libro dei sogni
Lattanzio,,83,50,1881 Capacelli - Il vero libro dei sogni
Lauro,,13,50,1881 Capacelli - Il vero libro dei sogni
Lazzaro,,41,50,1881 Capacelli - Il vero libro dei sogni
Leandro,,12 20,50,1881 Capacelli - Il vero libro dei sogni
Lelio,,6 75,50,1881 Capacelli - Il vero libro dei sogni
Leo,,65,50,1881 Capacelli - Il vero libro dei sogni
Leonardo,,50 80,50,1881 Capacelli - Il vero libro dei sogni
Leone,,21,50,1881 Capacelli - Il vero libro dei sogni
Leopoldo,,24 40,50,1881 Capacelli - Il vero libro dei sogni
Lepido,,74,50,1881 Capacelli - Il vero libro dei sogni
Letizia,,85,50,1881 Capacelli - Il vero libro dei sogni
Liberale,,57,50,1881 Capacelli - Il vero libro dei sogni
Liberata,,77,50,1881 Capacelli - Il vero libro dei sogni
Maccabei,,39,50,1881 Capacelli - Il vero libro dei sogni
Macario,,68,50,1881 Capacelli - Il vero libro dei sogni
Macedonio,,89,50,1881 Capacelli - Il vero libro dei sogni
Macrobio,,90,50,1881 Capacelli - Il vero libro dei sogni
Maddalena,,40,50,1881 Capacelli - Il vero libro dei sogni
Maggiorino,,57,50,1881 Capacelli - Il vero libro dei sogni
Magno,,89,50,1881 Capacelli - Il vero libro dei sogni
Mammete,,77,50,1881 Capacelli - Il vero libro dei sogni
Mansueto,,4 69,50,1881 Capacelli - Il vero libro dei sogni
Marciano,,69,50,1881 Capacelli - Il vero libro dei sogni
Marcellino,,9 32,50,1881 Capacelli - Il vero libro dei sogni
Marcello,,59 71,50,1881 Capacelli - Il vero libro dei sogni
Marco,,41 90,50,1881 Capacelli - Il vero libro dei sogni
Margherita,,3 90,50,1881 Capacelli - Il vero libro dei sogni
Maria,,26 29,50,1881 Capacelli - Il vero libro dei sogni
Liborio,,11,50,1881 Capacelli - Il vero libro dei sogni
Lino,,84,50,1881 Capacelli - Il vero libro dei sogni
Livia,,11,50,1881 Capacelli - Il vero libro dei sogni
Livinia,,5,50,1881 Capacelli - Il vero libro dei sogni
Lodovica,,68,50,1881 Capacelli - Il vero libro dei sogni
Lodovico,,74,50,1881 Capacelli - Il vero libro dei sogni
Lorenzo,,41,50,1881 Capacelli - Il vero libro dei sogni
Loreto,,50,50,1881 Capacelli - Il vero libro dei sogni
Luca,,58 69,50,1881 Capacelli - Il vero libro dei sogni
Lucia,,29 86,50,1881 Capacelli - Il vero libro dei sogni
Luciano,,36 75,50,1881 Capacelli - Il vero libro dei sogni
Lucilla,,80,50,1881 Capacelli - Il vero libro dei sogni
Lucio,,43,50,1881 Capacelli - Il vero libro dei sogni
Lucrezia,,26,50,1881 Capacelli - Il vero libro dei sogni
Luigi,,21,50,1881 Capacelli - Il vero libro dei sogni
Luigia,,31,50,1881 Capacelli - Il vero libro dei sogni
Lutgarde,,10,50,1881 Capacelli - Il vero libro dei sogni
Marianna,,74 81,50,1881 Capacelli - Il vero libro dei sogni
Marina,,80,50,1881 Capacelli - Il vero libro dei sogni
Mario,,28 29,50,1881 Capacelli - Il vero libro dei sogni
Marta,,25,50,1881 Capacelli - Il vero libro dei sogni
Martina,,23,50,1881 Capacelli - Il vero libro dei sogni
Martiniano,,18,50,1881 Capacelli - Il vero libro dei sogni
Martino,,40 81,50,1881 Capacelli - Il vero libro dei sogni
Martire,,34 75,50,1881 Capacelli - Il vero libro dei sogni
Marziano,,74,50,1881 Capacelli - Il vero libro dei sogni
Massiliano,,90,50,1881 Capacelli - Il vero libro dei sogni
Massimiliano,,56,50,1881 Capacelli - Il vero libro dei sogni
Massimo,,78 80,50,1881 Capacelli - Il vero libro dei sogni
Materno,,64,50,1881 Capacelli - Il vero libro dei sogni
Matilde,,28,50,1881 Capacelli - Il vero libro dei sogni
Matteo,,17 87,50,1881 Capacelli - Il vero libro dei sogni
Mattia,,4,51,1881 Capacelli - Il vero libro dei sogni
Maurizio,,89 90,51,1881 Capacelli - Il vero libro dei sogni
Mauro,,9,51,1881 Capacelli - Il vero libro dei sogni
Medardo,,15,51,1881 Capacelli - Il vero libro dei sogni
Melchiorre,,20 51,51,1881 Capacelli - Il vero libro dei sogni
Menandro,,11,51,1881 Capacelli - Il vero libro dei sogni
Naborre,,17 18,51,1881 Capacelli - Il vero libro dei sogni
Napoleone,,89,51,1881 Capacelli - Il vero libro dei sogni
Natale,,20 29,51,1881 Capacelli - Il vero libro dei sogni
Meandro,,54,51,1881 Capacelli - Il vero libro dei sogni
Niceforo,,73,51,1881 Capacelli - Il vero libro dei sogni
Nicodemo,,71 90,51,1881 Capacelli - Il vero libro dei sogni
Oberto,,22,51,1881 Capacelli - Il vero libro dei sogni
Odoardo,,19 20 90,51,1881 Capacelli - Il vero libro dei sogni
Ognissanti,,60,51,1881 Capacelli - Il vero libro dei sogni
Oliviero,,80,51,1881 Capacelli - Il vero libro dei sogni
Omobono,,15 81,51,1881 Capacelli - Il vero libro dei sogni
Onofrio,,3 72,51,1881 Capacelli - Il vero libro dei sogni
Onorio,,6,51,1881 Capacelli - Il vero libro dei sogni
Onorata,,16,51,1881 Capacelli - Il vero libro dei sogni
Onorato,,80,51,1881 Capacelli - Il vero libro dei sogni
Paciano,,12,51,1881 Capacelli - Il vero libro dei sogni
Pacifico,,38,51,1881 Capacelli - Il vero libro dei sogni
Pacomio,,11,51,1881 Capacelli - Il vero libro dei sogni
Palmazio,,51,51,1881 Capacelli - Il vero libro dei sogni
Palmira,,8 90,51,1881 Capacelli - Il vero libro dei sogni
Pancrazio,,51,51,1881 Capacelli - Il vero libro dei sogni
Pantaleone,,63,51,1881 Capacelli - Il vero libro dei sogni
Paola,,1 55,51,1881 Capacelli - Il vero libro dei sogni
Paolina,,78,51,1881 Capacelli - Il vero libro dei sogni
Michele,,38,51,1881 Capacelli - Il vero libro dei sogni
Modestino,,63,51,1881 Capacelli - Il vero libro dei sogni
Modesto,,22 41,51,1881 Capacelli - Il vero libro dei sogni
Mona,,90,51,1881 Capacelli - Il vero libro dei sogni
Monica,,9 90,51,1881 Capacelli - Il vero libro dei sogni
Mosè,,25,51,1881 Capacelli - Il vero libro dei sogni
Nicola,,81,51,1881 Capacelli - Il vero libro dei sogni
Nicolò,,80,51,1881 Capacelli - Il vero libro dei sogni
Nina,,82,51,1881 Capacelli - Il vero libro dei sogni
Ninetta,,64,51,1881 Capacelli - Il vero libro dei sogni
Noè,,5,51,1881 Capacelli - Il vero libro dei sogni
Norberto,,4,51,1881 Capacelli - Il vero libro dei sogni
Orazio,,10 65,51,1881 Capacelli - Il vero libro dei sogni
Orso,,21,51,1881 Capacelli - Il vero libro dei sogni
Orsola,,40,51,1881 Capacelli - Il vero libro dei sogni
Ortensia,,63,51,1881 Capacelli - Il vero libro dei sogni
Ottavia,,73,51,1881 Capacelli - Il vero libro dei sogni
Ottaviano,,26,51,1881 Capacelli - Il vero libro dei sogni
Ottavio,,22,51,1881 Capacelli - Il vero libro dei sogni
Ottimo,,66,51,1881 Capacelli - Il vero libro dei sogni
Ottone,,17,51,1881 Capacelli - Il vero libro dei sogni
Paolino,,79,51,1881 Capacelli - Il vero libro dei sogni
Paolo,,26 58,51,1881 Capacelli - Il vero libro dei sogni
